date	ba
19610131	0.044218
19610228	0.095114
19610330	0.096096
19610428	-0.016438
19610531	0.061838
19610630	0.031746
19610731	0.082051
19610831	0.024171
19610929	-0.011655
19611031	-0.091981
19611130	-0.015584
19611229	0.069333
19620131	0.119701
19620228	-0.035635
19620330	-0.065268
19620430	-0.102244
19620531	-0.027778
19620629	-0.057803
19620731	0.021472
19620831	-0.015015
19620928	-0.061728
19621031	0.006579
19621130	0.029412
19621231	-0.045016
19630131	0.053872
19630228	-0.009585
19630329	-0.052288
19630430	0.020690
19630531	0.006757
19630628	-0.037415
19630731	-0.070671
19630830	0.079848
19630930	-0.042857
19631031	0.014925
19631129	0.139706
19631231	-0.062092
19640131	0.108014
19640228	0.072327
19640331	0.041543
19640430	-0.022792
19640528	0.157434
19640630	0.081425
19640731	0.051765
19640831	0.087248
19640930	0.114108
19641030	-0.089385
19641130	0.083845
19641231	0.047529
19650129	-0.039927
19650226	0.034026
19650331	-0.075506
19650430	0.185259
19650528	-0.011765
19650630	-0.083904
19650730	0.153271
19650831	0.079417
19650930	0.208459
19651029	0.236250
19651130	0.139535
19651231	-0.065237
19660131	0.275335
19660228	0.005997
19660331	-0.081465
19660429	0.008950
19660531	-0.121359
19660630	0.087848
19660729	-0.160000
19660831	-0.095870
19660930	-0.055556
19661031	-0.049020
19661130	0.325773
19661230	0.025391
19670131	0.068571
19670228	0.052406
19670331	0.122449
19670428	0.159091
19670531	-0.034771
19670630	0.135870
19670731	-0.002392
19670831	-0.076259
19670929	-0.096354
19671031	-0.018732
19671130	0.081351
19671229	-0.013624
19680131	-0.158840
19680229	-0.004269
19680329	-0.092715
19680430	0.133212
19680531	-0.100805
19680628	-0.086331
19680730	-0.045276
19680830	-0.050722
19680930	0.004367
19681031	-0.046957
19681129	0.089450
19681231	-0.042105
19690131	0.037363
19690228	-0.102966
19690328	-0.033254
19690430	-0.071253
19690529	-0.062434
19690630	-0.031250
19690731	-0.196481
19690829	0.100000
19690930	-0.150502
19691031	0.009449
19691128	-0.019685
19691231	-0.096386
19700130	-0.178667
19700227	0.086957
19700331	-0.090000
19700430	-0.131868
19700529	-0.070886
19700630	-0.315068
19700731	0.088000
19700831	0.194444
19700930	0.054264
19701030	-0.141176
19701130	0.008621
19701231	-0.025641
19710129	0.375439
19710226	0.089744
19710331	-0.023529
19710430	0.131325
19710528	-0.016043
19710630	-0.119565
19710730	-0.198765
19710831	-0.023256
19710930	-0.047619
19711029	0.031667
19711130	-0.016260
19711231	0.231405
19720131	0.362416
19720229	-0.040394
19720330	-0.015464
19720428	-0.058639
19720531	0.011173
19720630	-0.077348
19720731	0.011976
19720831	0.081657
19720929	0.010989
19721031	-0.048913
19721130	0.153143
19721229	-0.004975
19730131	-0.065000
19730228	-0.070588
19730330	-0.046243
19730430	-0.127273
19730531	0.054167
19730629	-0.092715
19730731	0.131387
19730831	-0.143226
19730928	0.166667
19731031	-0.006494
19731130	-0.243137
19731231	-0.139130
19740131	0.151515
19740228	0.080702
19740329	-0.073770
19740430	0.035398
19740531	0.155556
19740628	0.052239
19740731	-0.026950
19740830	0.022059
19740930	-0.071942
19741031	0.116279
19741129	0.079167
19741231	-0.176471
19750131	0.079365
19750228	0.100000
19750331	0.114865
19750430	0.224242
19750530	0.166337
19750630	0.025641
19750731	-0.091667
19750829	0.039450
19750930	-0.057778
19751031	0.037736
19751128	-0.103636
19751231	0.005155
19760130	0.133333
19760227	-0.049774
19760331	0.033654
19760430	0.125581
19760528	0.210744
19760630	0.120275
19760730	-0.024540
19760831	0.022013
19760930	0.136223
19761029	-0.106267
19761130	0.088415
19761231	0.014164
19770131	-0.145251
19770228	0.107190
19770331	0.044643
19770429	0.099715
19770531	0.056477
19770630	0.143210
19770729	-0.023758
19770831	-0.024336
19770930	-0.093822
19771031	0.060606
19771130	0.085714
19771230	-0.004425
19780131	-0.062222
19780228	0.215166
19780331	0.079365
19780428	0.180147
19780531	0.228660
19780630	0.079082
19780731	0.219858
19780831	0.099612
19780929	-0.095575
19781031	-0.084149
19781130	0.184615
19781229	0.041971
19790131	0.056042
19790228	-0.164179
19790330	0.021956
19790430	-0.015625
19790531	-0.077381
19790629	0.051948
19790731	0.064815
19790831	0.118841
19790928	0.020833
19791031	-0.127551
