Datum;Grupp;Serie;rate
2011-01-03;Valutor mot svenska kronor;1 GBP;10.445
2011-01-04;Valutor mot svenska kronor;1 GBP;10.42
2011-01-05;Valutor mot svenska kronor;1 GBP;10.525
2011-01-07;Valutor mot svenska kronor;1 GBP;10.6125
2011-01-10;Valutor mot svenska kronor;1 GBP;10.7475
2011-01-11;Valutor mot svenska kronor;1 GBP;10.685
2011-01-12;Valutor mot svenska kronor;1 GBP;10.6775
2011-01-13;Valutor mot svenska kronor;1 GBP;10.6325
2011-01-14;Valutor mot svenska kronor;1 GBP;10.5775
2011-01-17;Valutor mot svenska kronor;1 GBP;10.6225
2011-01-18;Valutor mot svenska kronor;1 GBP;10.635
2011-01-19;Valutor mot svenska kronor;1 GBP;10.6275
2011-01-20;Valutor mot svenska kronor;1 GBP;10.595
2011-01-21;Valutor mot svenska kronor;1 GBP;10.58
2011-01-24;Valutor mot svenska kronor;1 GBP;10.545
2011-01-25;Valutor mot svenska kronor;1 GBP;10.4275
2011-01-26;Valutor mot svenska kronor;1 GBP;10.2875
2011-01-27;Valutor mot svenska kronor;1 GBP;10.29
2011-01-28;Valutor mot svenska kronor;1 GBP;10.2725
2011-01-31;Valutor mot svenska kronor;1 GBP;10.3675
2011-02-01;Valutor mot svenska kronor;1 GBP;10.3075
2011-02-02;Valutor mot svenska kronor;1 GBP;10.3175
2011-02-03;Valutor mot svenska kronor;1 GBP;10.435
2011-02-04;Valutor mot svenska kronor;1 GBP;10.4375
2011-02-07;Valutor mot svenska kronor;1 GBP;10.455
2011-02-08;Valutor mot svenska kronor;1 GBP;10.3775
2011-02-09;Valutor mot svenska kronor;1 GBP;10.3575
2011-02-10;Valutor mot svenska kronor;1 GBP;10.3825
2011-02-11;Valutor mot svenska kronor;1 GBP;10.465
2011-02-14;Valutor mot svenska kronor;1 GBP;10.4425
2011-02-15;Valutor mot svenska kronor;1 GBP;10.4175
2011-02-16;Valutor mot svenska kronor;1 GBP;10.43
2011-02-17;Valutor mot svenska kronor;1 GBP;10.3675
2011-02-18;Valutor mot svenska kronor;1 GBP;10.3925
2011-02-21;Valutor mot svenska kronor;1 GBP;10.39
2011-02-22;Valutor mot svenska kronor;1 GBP;10.5225
2011-02-23;Valutor mot svenska kronor;1 GBP;10.3925
2011-02-24;Valutor mot svenska kronor;1 GBP;10.3825
2011-02-25;Valutor mot svenska kronor;1 GBP;10.2875
2011-02-28;Valutor mot svenska kronor;1 GBP;10.3225
2011-03-01;Valutor mot svenska kronor;1 GBP;10.28
2011-03-02;Valutor mot svenska kronor;1 GBP;10.29
2011-03-03;Valutor mot svenska kronor;1 GBP;10.305
2011-03-04;Valutor mot svenska kronor;1 GBP;10.2625
2011-03-07;Valutor mot svenska kronor;1 GBP;10.3675
2011-03-08;Valutor mot svenska kronor;1 GBP;10.305
2011-03-09;Valutor mot svenska kronor;1 GBP;10.285
2011-03-10;Valutor mot svenska kronor;1 GBP;10.2925
2011-03-11;Valutor mot svenska kronor;1 GBP;10.245
2011-03-14;Valutor mot svenska kronor;1 GBP;10.2125
2011-03-15;Valutor mot svenska kronor;1 GBP;10.29
2011-03-16;Valutor mot svenska kronor;1 GBP;10.33
2011-03-17;Valutor mot svenska kronor;1 GBP;10.3675
2011-03-18;Valutor mot svenska kronor;1 GBP;10.2875
2011-03-21;Valutor mot svenska kronor;1 GBP;10.1825
2011-03-22;Valutor mot svenska kronor;1 GBP;10.23
2011-03-23;Valutor mot svenska kronor;1 GBP;10.3125
2011-03-24;Valutor mot svenska kronor;1 GBP;10.28
2011-03-25;Valutor mot svenska kronor;1 GBP;10.2075
2011-03-28;Valutor mot svenska kronor;1 GBP;10.2475
2011-03-29;Valutor mot svenska kronor;1 GBP;10.1775
